[rosmaster.main][INFO] 2019-10-12 09:55:43,030: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-10-12 09:55:43,030: Starting ROS Master Node
[xmlrpc][INFO] 2019-10-12 09:55:43,032: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-10-12 09:55:43,033: Master initialized: port[11311], uri[http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-10-12 09:55:43,033: Started XML-RPC server [http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-10-12 09:55:43,034: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-10-12 09:55:43,079: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:43,082: +PARAM [/roslaunch/uris/host_clever_6853_local__32849] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:43,144: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:43,145: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:43,418: +SERVICE [/rosout/get_loggers] /rosout http://clever-6853.local:41017/
[rosmaster.master][INFO] 2019-10-12 09:55:43,419: +SERVICE [/rosout/set_logger_level] /rosout http://clever-6853.local:41017/
[rosmaster.master][INFO] 2019-10-12 09:55:43,424: +PUB [/rosout_agg] /rosout http://clever-6853.local:41017/
[rosmaster.master][INFO] 2019-10-12 09:55:43,429: +SUB [/rosout] /rosout http://clever-6853.local:41017/
[rosmaster.master][INFO] 2019-10-12 09:55:44,805: +PARAM [/roslaunch/uris/host_clever_6853_local__40093] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,852: +PARAM [/main_camera/main_camera_markers/scale] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,853: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,853: +PARAM [/main_camera/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,853: +PARAM [/mavros/gcs_quiet_mode] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,853: +PARAM [/mavros/distance_sensor/rangefinder/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,854: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,854: +PARAM [/mavros/odometry/in/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,854: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,854: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,855: +PARAM [/mavros/odometry/in/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,855: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,855: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,855: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,856: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,856: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,856: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,856: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,857: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,857: +PARAM [/visualization/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,857: +PARAM [/main_camera/cv_cap_prop_fps] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,857: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,858: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,858: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,858: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,858: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,859: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,859: +PARAM [/simple_offboard/reference_frames/navigate_target] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,859: +PARAM [/main_camera/camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,859: +PARAM [/visualization/marker_scale] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,860: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:55:44,860: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
