[rosmaster.main][INFO] 2019-09-26 01:25:13,590: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-09-26 01:25:13,591: Starting ROS Master Node
[xmlrpc][INFO] 2019-09-26 01:25:13,593: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-09-26 01:25:13,593: Master initialized: port[11311], uri[http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-09-26 01:25:13,593: Started XML-RPC server [http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-09-26 01:25:13,594: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-09-26 01:25:13,633: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:13,636: +PARAM [/roslaunch/uris/host_clever_6853_local__36109] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:13,699: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:13,699: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:13,984: +SERVICE [/rosout/get_loggers] /rosout http://clever-6853.local:46501/
[rosmaster.master][INFO] 2019-09-26 01:25:13,986: +SERVICE [/rosout/set_logger_level] /rosout http://clever-6853.local:46501/
[rosmaster.master][INFO] 2019-09-26 01:25:13,990: +PUB [/rosout_agg] /rosout http://clever-6853.local:46501/
[rosmaster.master][INFO] 2019-09-26 01:25:13,996: +SUB [/rosout] /rosout http://clever-6853.local:46501/
[rosmaster.master][INFO] 2019-09-26 01:25:15,353: +PARAM [/roslaunch/uris/host_clever_6853_local__43887] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,403: +PARAM [/main_camera/main_camera_markers/scale] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,404: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,404: +PARAM [/main_camera/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,404: +PARAM [/mavros/gcs_quiet_mode] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,405: +PARAM [/mavros/distance_sensor/rangefinder/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,405: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,405: +PARAM [/mavros/odometry/in/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,405: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,406: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,406: +PARAM [/mavros/odometry/in/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,406: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,406: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,407: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,407: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,407: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,407: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,408: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,408: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,408: +PARAM [/visualization/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,408: +PARAM [/main_camera/cv_cap_prop_fps] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,409: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,409: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,409: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,409: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,410: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,410: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,410: +PARAM [/simple_offboard/reference_frames/navigate_target] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,410: +PARAM [/main_camera/camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,411: +PARAM [/visualization/marker_scale] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,411: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,411: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,411: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,412: +PARAM [/rangefinder/range/orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,412: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,412: +PARAM [/main_camera/capture_delay] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,412: +PARAM [/mavros/odometry/out/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,412: +PARAM [/main_camera/rescale_camera_info] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,413: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,413: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,413: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,413: +PARAM [/rangefinder/range/covariance] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,414: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,414: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,414: +PARAM [/mavros/fake_gps/fix_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,414: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,415: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,415: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,415: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,415: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,416: +PARAM [/mavros/setpoint_velocity/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,416: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,416: +PARAM [/mavros/setpoint_position/mav_frame] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,416: +PARAM [/visualization/num_rotors] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,417: +PARAM [/visualization/fixed_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,417: +PARAM [/mavros/fake_gps/geo_origin/alt] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,417: +PARAM [/mavros/setpoint_raw/thrust_scaling] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,417: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,418: +PARAM [/mavros/fake_gps/eph] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,418: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,418: +PARAM [/simple_offboard/reference_frames/body] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,418: +PARAM [/main_camera/rate] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,419: +PARAM [/mavros/fake_gps/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,419: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,419: +PARAM [/mavros/fake_gps/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,419: +PARAM [/visualization/max_track_size] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,420: +PARAM [/mavros/setpoint_attitude/use_quaternion] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,420: +PARAM [/mavros/fake_gps/satellites_visible] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,420: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,420: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,421: +PARAM [/mavros/fake_gps/epv] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,421: +PARAM [/mavros/px4flow/ranger_max_range] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,421: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,421: +PARAM [/mavros/global_position/gps_uere] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,422: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,422: +PARAM [/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,422: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,422: +PARAM [/mavros/distance_sensor/rangefinder/orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,422: +PARAM [/web_video_server/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,423: +PARAM [/rangefinder/range/id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,423: +PARAM [/mavros/global_position/tf/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,423: +PARAM [/mavros/vision_speed/listen_twist] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,423: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:25:15,424: +PARAM [/mavros/distance_sensor/rangefinder/id] by /roslaunch
