[rosmaster.main][INFO] 2019-10-12 09:42:21,266: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-10-12 09:42:21,267: Starting ROS Master Node
[xmlrpc][INFO] 2019-10-12 09:42:21,268: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-10-12 09:42:21,269: Master initialized: port[11311], uri[http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-10-12 09:42:21,270: Started XML-RPC server [http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-10-12 09:42:21,270: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-10-12 09:42:21,315: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:21,318: +PARAM [/roslaunch/uris/host_clever_6853_local__46339] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:21,383: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:21,383: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:21,662: +SERVICE [/rosout/get_loggers] /rosout http://clever-6853.local:35745/
[rosmaster.master][INFO] 2019-10-12 09:42:21,663: +SERVICE [/rosout/set_logger_level] /rosout http://clever-6853.local:35745/
[rosmaster.master][INFO] 2019-10-12 09:42:21,668: +PUB [/rosout_agg] /rosout http://clever-6853.local:35745/
[rosmaster.master][INFO] 2019-10-12 09:42:21,673: +SUB [/rosout] /rosout http://clever-6853.local:35745/
[rosmaster.master][INFO] 2019-10-12 09:42:23,053: +PARAM [/roslaunch/uris/host_clever_6853_local__44355] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,101: +PARAM [/main_camera/main_camera_markers/scale] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,101: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,101: +PARAM [/main_camera/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,102: +PARAM [/mavros/gcs_quiet_mode] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,102: +PARAM [/mavros/distance_sensor/rangefinder/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,102: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,102: +PARAM [/mavros/odometry/in/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,103: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,103: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,103: +PARAM [/mavros/odometry/in/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,103: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,104: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,104: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,104: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,104: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,105: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,105: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,105: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,105: +PARAM [/visualization/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,106: +PARAM [/main_camera/cv_cap_prop_fps] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,106: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,106: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,106: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,106: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,107: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:42:23,107: +PARAM [/mavros/local_position/frame_id] by /roslaunch
