[rosmaster.main][INFO] 2019-10-12 09:49:41,353: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-10-12 09:49:41,353: Starting ROS Master Node
[xmlrpc][INFO] 2019-10-12 09:49:41,355: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-10-12 09:49:41,356: Master initialized: port[11311], uri[http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-10-12 09:49:41,356: Started XML-RPC server [http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-10-12 09:49:41,357: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-10-12 09:49:41,401: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:41,403: +PARAM [/roslaunch/uris/host_clever_6853_local__36307] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:41,463: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:41,464: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:41,737: +SERVICE [/rosout/get_loggers] /rosout http://clever-6853.local:33953/
[rosmaster.master][INFO] 2019-10-12 09:49:41,738: +SERVICE [/rosout/set_logger_level] /rosout http://clever-6853.local:33953/
[rosmaster.master][INFO] 2019-10-12 09:49:41,743: +PUB [/rosout_agg] /rosout http://clever-6853.local:33953/
[rosmaster.master][INFO] 2019-10-12 09:49:41,748: +SUB [/rosout] /rosout http://clever-6853.local:33953/
[rosmaster.master][INFO] 2019-10-12 09:49:43,236: +PARAM [/roslaunch/uris/host_clever_6853_local__39733] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,282: +PARAM [/main_camera/main_camera_markers/scale] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,283: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,283: +PARAM [/main_camera/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,283: +PARAM [/mavros/gcs_quiet_mode] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,283: +PARAM [/mavros/distance_sensor/rangefinder/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,284: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,284: +PARAM [/mavros/odometry/in/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,284: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,284: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,285: +PARAM [/mavros/odometry/in/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,285: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,285: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,285: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,286: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,286: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,286: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,286: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,287: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,287: +PARAM [/visualization/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,287: +PARAM [/main_camera/cv_cap_prop_fps] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,287: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,288: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,288: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,288: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,288: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,289: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,289: +PARAM [/simple_offboard/reference_frames/navigate_target] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,289: +PARAM [/main_camera/camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,289: +PARAM [/visualization/marker_scale] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,290: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,290: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,290: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,290: +PARAM [/rangefinder/range/orientation] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,290: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,291: +PARAM [/main_camera/capture_delay] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,291: +PARAM [/mavros/odometry/out/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,291: +PARAM [/main_camera/rescale_camera_info] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,291: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,292: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,292: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,292: +PARAM [/rangefinder/range/covariance] by /roslaunch
[rosmaster.master][INFO] 2019-10-12 09:49:43,292: +PARAM [/rosapi/services_glob] by /roslaunch
