[rosmaster.main][INFO] 2019-09-26 01:26:10,958: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-09-26 01:26:10,959: Starting ROS Master Node
[xmlrpc][INFO] 2019-09-26 01:26:10,960: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-09-26 01:26:10,961: Master initialized: port[11311], uri[http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-09-26 01:26:10,961: Started XML-RPC server [http://clever-6853.local:11311/]
[xmlrpc][INFO] 2019-09-26 01:26:10,962: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-09-26 01:26:11,004: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:11,006: +PARAM [/roslaunch/uris/host_clever_6853_local__39261] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:11,068: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:11,068: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:11,342: +SERVICE [/rosout/get_loggers] /rosout http://clever-6853.local:37929/
[rosmaster.master][INFO] 2019-09-26 01:26:11,344: +SERVICE [/rosout/set_logger_level] /rosout http://clever-6853.local:37929/
[rosmaster.master][INFO] 2019-09-26 01:26:11,348: +PUB [/rosout_agg] /rosout http://clever-6853.local:37929/
[rosmaster.master][INFO] 2019-09-26 01:26:11,354: +SUB [/rosout] /rosout http://clever-6853.local:37929/
[rosmaster.master][INFO] 2019-09-26 01:26:12,733: +PARAM [/roslaunch/uris/host_clever_6853_local__32885] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,779: +PARAM [/main_camera/main_camera_markers/scale] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,780: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,780: +PARAM [/main_camera/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,780: +PARAM [/mavros/gcs_quiet_mode] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,781: +PARAM [/mavros/distance_sensor/rangefinder/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,781: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,781: +PARAM [/mavros/odometry/in/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,781: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,782: +PARAM [/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,782: +PARAM [/mavros/odometry/in/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,782: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,782: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,783: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,783: +PARAM [/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,783: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,783: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,783: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,784: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,784: +PARAM [/visualization/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,784: +PARAM [/main_camera/cv_cap_prop_fps] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,784: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,785: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,785: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,785: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,785: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,786: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,786: +PARAM [/simple_offboard/reference_frames/navigate_target] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,786: +PARAM [/main_camera/camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,786: +PARAM [/visualization/marker_scale] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,787: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,787: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,787: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,787: +PARAM [/rangefinder/range/orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,788: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,788: +PARAM [/main_camera/capture_delay] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,788: +PARAM [/mavros/odometry/out/frame_tf/body_frame_orientation] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,788: +PARAM [/main_camera/rescale_camera_info] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,789: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,789: +PARAM [/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,789: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,789: +PARAM [/rangefinder/range/covariance] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,789: +PARAM [/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,790: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,790: +PARAM [/mavros/fake_gps/fix_type] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,790: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,790: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,791: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,791: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-09-26 01:26:12,791: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
